PROBEID,ENTREZID
1,16656909,NA
2,16839478,NA
3,16752014,NA
4,16939508,NA
5,16654771,NA
6,16653757,NA
7,17013728,25902
8,16851840,NA
9,16652863,NA
10,16885819,NA
11,16973830,NA
12,16653047,NA
13,17032402,NA
14,16650441,NA
15,16767324,100379132
16,17100797,NA
17,16656407,NA
18,16900480,NA
19,16803212,257364
20,16705437,100302273
21,16844292,101340251
22,16651859,NA
23,17039221,NA
24,16974246,NA
25,16907401,NA
26,17109109,NA
27,16998059,57561
28,16790264,NA
29,16744707,NA
30,16730503,10413
31,16650235,NA
32,16652535,NA
33,16651625,NA
34,16790259,NA
35,17087395,NA
36,16870399,NA
37,16819145,51716
38,16788677,NA
39,16958923,NA
40,16890763,10109
41,17034729,NA
42,16654607,NA
43,17119804,NA
44,16867227,NA
45,17017176,NA
46,16756431,90488
47,16866370,375690
48,16866370,100287171
49,16832319,26118
50,17119280,NA
51,16771493,NA
52,16876334,105371312
53,16867226,NA
54,16692297,5565
55,16652323,NA
56,16777272,NA
57,16652125,NA
58,16788618,767578
59,16703334,NA
60,16653777,NA
61,16655485,NA
62,16772942,7750
63,16692624,337873
64,16651067,NA
65,17118058,441081
66,17118058,728488
67,17118066,441081
68,17118066,728488
69,17118104,441081
70,17118104,728488
71,17118127,441081
72,17118127,728488
73,16788616,767577
74,16787362,NA
75,17125722,3730
76,16839509,NA
77,16656947,NA
78,17079288,NA
79,17092953,NA
80,16914169,NA
81,16992343,NA
82,16934591,NA
83,16926445,754
84,17106679,NA
85,17117586,NA
86,16653769,NA
87,17119264,26792
88,17119264,10528
89,16703854,NA
90,16692477,100288142
91,16692477,100132406
92,16692477,728841
93,16737017,NA
94,17120064,55207
95,16922036,NA
96,17045540,NA
97,16859655,26780
98,16771480,NA
99,16839511,NA
100,16850759,5797
101,17053100,NA
102,16917545,NA
103,17104937,NA
104,16979779,NA
105,16778708,NA
106,16785869,6430
107,16976108,NA
108,16859205,652995
109,16808717,NA
110,16788675,NA
111,16655467,NA
112,16842468,NA
113,16783498,NA
114,17047367,NA
115,17058392,NA
116,16706419,NA
117,16974226,NA
118,16679945,NA
119,16653817,NA
120,16653071,NA
