GSM880866_1UNT_PP0903_HG.U133_Plus_2_.CEL	GSM880867_1APL_PP0909_HG.U133_Plus_2_.CEL	GSM880868_2UNT_PP0907_HG.U133_Plus_2_.CEL	GSM880869_2APL_PP0912_HG.U133_Plus_2_.CEL	GSM880870_3UNT_PP0901_HG.U133_Plus_2_.CEL	GSM880871_3APL_PP0905_HG.U133_Plus_2_.CEL
100009676	4.32493739509069	4.33138133147331	4.41276059675956	4.37497670710665	4.05162058345591	4.19510016865401
10000	5.67209543461668	5.74518609279319	5.58394925408102	5.78538797372179	5.96065996684131	5.90238768125164
10001	7.92656913260259	7.79931739007402	7.94765159869536	7.69815731084647	7.70253295440068	8.1281161648718
10002	3.80833890334479	3.87391513316678	3.85506483017274	3.85700168626445	4.04995418123834	3.84001314938737
100038246	4.54054155575683	4.35012783232512	4.3085776818169	4.50699298082887	4.74386012475633	4.42760119151076
10003	3.51033891409877	3.61980796701441	3.55064299221501	3.75699039103933	3.39066909190608	3.38977448311524
100048912	2.92353375374031	2.8049486175525	2.86423598515049	2.9705429036544	3.36447484611724	2.88336834078326
100049716	4.0353041934461	4.52820179894402	4.15067861408774	4.26565270108955	4.16690432267635	4.2886140937981
10004	4.46802866741544	4.64358224888307	4.61184329890177	4.65546658854412	4.86493296644418	4.76386400967459
10005	6.69845748128518	6.34537321900341	6.50555581505806	6.48567285890327	6.49844363168834	6.66427296639965
10006	9.31724053134285	9.28199635137716	8.92031581160666	9.35868202246849	9.44973426519223	9.08523290026262
10007	8.1084802314507	8.06807709077261	8.20829451450155	8.02653811693619	7.75032890875927	8.16678607981883
10008	5.79737904318213	6.06546482816811	5.93514188810031	5.15106487582961	5.55348782639587	6.02000708041287
100093630	10.0565118739222	10.0650130743739	9.9068774786642	9.82632462195773	10.0129002291647	9.92573387719038
100093698	3.13458497553075	2.98788883750111	2.68511363251764	3.06934199688978	3.26849859698688	3.21254158449171
10009	7.63789999079577	7.45519811228134	7.62561483603425	7.86280255342044	7.73868086358343	7.74980178528081
1000	4.61196608462603	5.15239192138509	4.88319606698247	4.63724140888941	4.69995038729654	4.86730999976699
100101467	5.2881704741213	5.25304153546438	5.40478687056568	5.14292236030541	5.21515304710539	5.33779876368924
100101938	4.36607120352292	4.17685626638539	3.67587767674101	4.40930341186476	4.5179640594631	4.71609124702529
10010	8.70071017117706	8.65860996452017	8.87724294953482	8.71602099840604	8.74616189491855	8.77759224101904
100113407	4.03229398145463	4.32993207694001	3.9096527798242	2.95997582905379	3.26034904110674	4.42625346874123
10011	8.40377685121608	8.67164796635294	8.59838111355508	8.32325262800497	8.1565438829684	8.62945194937097
100124700	2.93313017005154	3.07579061874936	3.07222782596727	2.86769880158851	2.72689418887012	2.68592414968945
100125288	6.38910883019415	6.26204729349131	6.35794827807123	6.42367652424518	6.35839515208684	6.31776676182506
100126784	4.49923085991867	4.3760794971611	4.2308782700376	4.4335383356017	4.822302115386	3.94373639451644
100126791	3.83172808447084	3.67055077867689	3.81984292922752	3.96646548234147	4.14027804016657	3.79153690996433
100126793	4.71856372672828	4.76629875892293	4.846994196162	4.94383242230983	4.83492768887363	4.81341997288278
100127888	4.09602815474807	4.21354847549626	4.3454699136447	4.19942273341042	4.41207105313018	4.3121183157809
100127950	2.67836341239312	2.7645232769805	2.65299887887022	2.90710894225918	2.91298887980506	2.85257677014957
100127955	4.24833741628665	4.13145004632446	4.27792069663946	4.46432260910643	4.28751931813941	4.14496099275755
100127983	5.16497098652041	5.11382048819931	4.83134488673364	4.66016357767434	5.10526409306041	5.16880573557137
100128011	2.99848394083466	2.82487063561641	2.94624369608099	2.94624369608099	2.671243188645	2.97056267865979
100128025	3.915530525215	3.77103706618322	3.60829745311048	4.0119775665508	4.12213393499911	3.87379621700504
100128071	6.3755200102509	6.26939084366223	6.18262572128342	6.14649098282926	6.13951567939364	6.09422731772875
100128098	7.99584210267538	7.24471511286473	7.46204399970126	8.05049622182585	7.79584854240748	7.79262235333887
100128124	4.72531729859201	4.63038792709611	4.54137121449346	4.59074870757208	4.5842991108247	4.53382615314932
100128126	4.25311142461114	4.12888132655158	4.15057727035428	4.1786454931849	4.2003414369876	3.99766802080906
100128139	2.75196190533767	3.1773792731987	2.72680060317623	3.03207982544512	2.96275937548573	2.81527270278325
100128164	4.10600867083823	4.00531282237161	4.24955823250694	4.06021498382535	4.24287546821031	4.01729244956571
100128176	2.7545344401996	2.78969785518476	2.86459429458655	2.93009438140092	2.92001846345153	2.8598403283191
100128191	3.78306536970464	3.66118073816502	3.79582034932852	3.4580982527184	3.36283444882383	3.60075552665485
100128239	3.34277524606085	3.28746369551351	3.31704640099572	3.37133488489711	3.4551055274577	3.39746921089633
100128252	6.95795362160147	6.46870776904111	7.2000347101365	6.27261020032426	7.70035342952814	6.87648543216708
100128285	3.76497573144201	3.8484976042036	3.64131865264341	3.86632656485922	3.76013706762409	3.8620407300148
100128288	3.01288729790994	2.92621506984465	3.19961374974535	3.22403677361367	2.83000965625343	3.55366564479207
100128292	3.99668587131636	3.78958624010154	3.97370395039929	4.02134996316866	4.05774841759754	3.98011841516886
100128325	4.70864958719413	4.98131933912974	4.49943467266356	4.84022958927124	5.06947882598292	4.72736511730812
100128334	5.35604180061475	5.57279194966258	5.68900323642315	5.53885029215846	5.66820532522202	5.27206523224914
100128361	3.91355155451386	3.8746619558708	3.87059725989419	4.0401814506566	4.0401814506566	4.13854018640328
100128496	4.10120000091834	4.15903802512767	4.05818044450351	4.27700264078089	4.23242333227929	3.95308018165048
100128511	4.08639801483979	3.80073011727556	3.76132627643116	3.50391440346421	4.02464723801369	3.80073011727556
100128537	7.37555241278482	6.90955232012206	7.34729476393493	6.4539573823442	7.35744256452355	7.52084828678317
100128554	3.23713033816738	3.21515645437949	2.94761675361066	2.91616841670146	3.13063218433197	3.24996515294986
100128590	2.87024941812769	2.9881848018488	2.89093279472486	2.94713551141889	2.7611175080714	2.90230356991211
100128594	3.0419470444443	2.76938970305149	2.76496828949355	2.97206788988625	3.07343623535781	3.04305047725359
100128640	3.71771395698425	3.77177958515986	3.96851789829859	4.62908776039787	3.97745717029363	3.73905872117673
100128653	6.07427473965437	6.08589564623216	5.45801183460319	6.21361330565291	6.41562812115387	6.19943145231934
100128731	11.224068779528	11.3234085110322	10.9623092210032	11.3817827228989	11.2383672129454	11.411680423354
100128750	4.93935590554712	5.11902410504654	5.19666678299274	5.24755208176995	5.38571654679213	4.82664955808076
100128782	3.81848178505785	3.89517735467122	3.88817310412429	3.99764635753891	4.116453618796	3.89706909189435
100128788	4.67544934308703	4.59835872288503	4.37823527495953	5.14863698595518	5.02820500693624	4.45859556814827
100128822	7.55193297322594	7.02327697283883	7.81738734752975	8.84950592182579	8.03743134104291	7.55899702068616
100128881	5.896980476833	5.76277289909992	5.7926242934974	5.94314124741501	6.09630992168149	5.65412505603792
100128893	6.68195613841845	7.46686139370398	6.55591713411835	6.35537450469647	6.33773804145289	6.74389781314609
100128927	3.6142020907611	3.77818544807853	3.7815854182288	4.03704588226131	3.928755452352	3.78855301809526
100128946	4.29940876920554	4.11043794081056	4.25055391074925	4.33788357997207	4.46044512981779	4.3451152844883
100128961	7.41947206966987	7.27078955475673	7.79612578284986	7.20914001991818	7.28075851887482	7.30918852511597
100128977	3.50013509174506	3.29810495698303	3.2620057270178	3.46562244467254	3.53272637902469	3.3111691563163
100128988	6.73773285562231	6.74850852859089	7.27790922215149	5.83879710314253	5.67758612446755	6.82639914735986
100128993	3.2979704270308	3.29752526043842	2.81640925134303	3.48327707030232	3.25561388335816	3.22144863559204
100128998	5.3480212972838	5.49845442102471	5.28807807472902	5.66872285718509	5.69809311564731	5.30736223337231
100129034	5.65971630241817	5.39363572891482	5.57519268576415	5.26449073805906	5.40453113235054	4.96658352339871
100129061	2.57428594030749	2.76267324732204	2.53033753495664	2.61297777005536	2.9172257142034	2.77220376699663
100129098	5.13409906341818	4.92383062349119	5.15872785739047	4.91646148072123	5.26896192804261	5.05473696269894
100129128	3.19854510826262	3.45427492161166	3.07350241250139	3.32710771006242	4.11700492621206	3.18022219145198
100129175	3.88261031423126	3.70680864121215	3.55636226186499	3.99766846810065	4.12305289132092	3.91135654161673
100129195	3.45502493771572	3.42262554388117	3.11017502720002	3.15798658813451	3.61237465839008	3.4192655404984
100129196	3.73092054351099	3.79777590167342	3.70671933333777	3.61825909302048	3.67290469435698	3.60310000506444
100129250	6.71407264548272	6.54728090472557	6.51232750495106	6.78354119497125	6.87475418810457	6.63417187628317
100129271	3.61250845664655	3.60655273853686	3.46471900847455	3.731177806062	3.91798284026564	3.46159811727834
100129361	4.93862436667991	5.00628350165288	5.1705780449539	4.90284346171003	4.98854064030191	4.96996454184254
100129387	5.83108468396863	5.74159399683033	6.26470708972421	5.77950203632548	5.74089594822434	6.05141445900422
100129427	3.14939931103991	3.20984891605617	3.08710603042158	3.30792388977605	3.41578476371999	3.36018864792432
100129455	2.85271591724915	2.83579647573115	2.94463339290175	2.94846589007427	3.21805671553757	3.06559017021495
100129460	3.71335936505633	3.4716449061347	3.413217748004	3.63881632546561	3.57120587678148	3.62725464118075
100129461	4.15993440304673	4.15258021403087	4.04824353107831	4.18518058507582	4.25688492876324	4.29622297917829
100129476	3.6509195467863	3.34745376708228	3.22524504941143	3.7040030885442	3.47439109151616	3.38182475048834
100129482	4.42414176147534	4.71318981791138	4.4796802959583	4.66785740152631	4.47658618036875	4.43895458914413
100129503	5.47595865645111	5.59854276358984	5.76952964813086	5.68797353036117	5.46016654519663	5.40275947084889
100129516	4.64471627001573	4.60988166301529	4.22474436956287	5.19371859806924	4.81239664312262	4.41528605853468
100129528	7.79325144761137	7.63047992850408	7.7669985317739	7.93343047849318	8.04432613482194	7.34566449966294
100129550	7.41101813033194	7.55347057941138	8.31357535006366	7.679437322387	7.26785868623603	8.10378739451401
100129597	3.09491959645196	3.05835867143558	3.11697810156021	3.55488949019484	3.30880177349139	2.79765427538869
100129617	6.14373714475089	5.9787499511591	5.90847757995788	6.50498316334878	6.45298206924925	6.17400578096906
100129620	2.63952417086921	2.67723027400296	2.84838498203795	2.83469636747435	2.75906111187882	2.91387487595018
100129654	2.66454053223293	2.65745229929067	2.67193662903698	2.50068449165491	2.83325507636852	2.65127633789523
100129662	3.22450025330973	3.17530960071269	3.09284353033108	3.29578752215858	3.3682060854414	3.34367244093676
100129716	4.91817454752334	4.92063454716437	4.66829431834103	4.67942175317016	5.0804167122663	4.61853166042541
100129726	3.90737161302902	3.90737161302902	3.74387463631199	4.10242689128218	3.70246217225554	3.99010855187978
100129792	2.91513501927254	2.99959771428549	3.07512691699386	3.10364231613747	3.01605881710598	3.07512691699386
100129794	3.14606365495408	2.92942404798876	3.09284353033108	3.08569254219106	3.13891266681406	3.11301773118702
100129827	5.9882730999452	5.83190042717536	5.90836961697846	5.78986652641191	6.09593995113631	5.98313838426024
100129845	5.77440858529436	5.84610533434084	5.70859864457284	5.59638025125889	6.15649817203962	5.66110442980359
100129858	3.80662633493551	3.7896272546311	3.58061000909328	3.75914639706797	3.75797957551811	3.78324937908185
100129917	3.15209786430488	2.98114288603666	3.18211695344811	3.17157604064856	3.30851457071089	2.84651968013326
100129930	3.59556872260526	3.54118284471497	3.2706284201168	3.95445287138466	3.54621310522924	3.56525520945415
100129935	6.49601291913077	6.87687188367113	6.61725668465648	7.56349849788843	6.65918456278787	6.7624764273287
100129961	3.16225932853828	3.06745255637804	2.81932382276236	3.67870752101618	3.10761844655167	3.14776437702488
100129969	3.72088436899236	3.68225505647604	3.38125551220273	3.68899183847529	3.97548395114893	3.70875030748344
100129973	2.69336706088554	2.56828472034008	2.66369960600101	2.74457671594368	2.65193693246221	2.91168016396489
100130111	3.30647303363195	3.23810243992305	3.29085608477462	3.416042791769	3.49596212902451	3.29796605535167
100130134	2.92293936948685	2.92293936948685	2.95451084324519	3.17284446303747	2.79930279322632	2.85510511372518
100130155	3.1361263821271	3.15423748134938	3.13870245870193	3.13755093920185	3.146147928289	3.11674940096207
100130172	3.36256982960572	3.28920059915809	3.42617337966436	3.44033038109483	3.39056693827965	3.17767620104782
100130207	2.94465059238828	3.14385942074017	3.37490892929262	3.26753013107161	3.4786331753086	3.26597520833024
100130249	3.6976514455867	3.668404777932	3.46949106084152	3.81705485164424	3.84646794606544	3.67863926834665
100130264	3.52957536193829	3.49917979024097	3.37561092501751	3.39658373804954	3.58391543626365	3.34512312572527
100130275	5.31541334882549	5.23598666320105	5.40011316669313	5.82001267161926	5.58293363754007	5.54951833475123
100130331	3.18840741877316	3.27014116621695	3.30092687226179	3.40263324789272	3.4847437532202	3.47716705185143
100130335	11.6231364234551	11.7232847027374	11.8060441688037	11.7798395013006	11.9127226096625	11.7404900801603
100130357	3.36349140211804	3.34803333105226	3.82083969185843	3.19836062310389	2.92471231285802	3.30656712056437
100130370	5.42536507536177	5.48167720694506	5.41071943490321	5.37006626631094	5.42951799325307	5.45638291331265
100130417	4.09641579930308	4.12381566787809	3.95082916196983	4.12199596564227	4.3958957265672	3.9645489152036
100130418	3.75468807347846	3.77327089720234	3.61738786296194	3.87443858704853	3.69903058759479	3.66815151239889
100130449	6.76366563964911	6.90823452068078	7.01474778146486	7.04438847065638	6.77356490228358	6.67602888913155
100130452	3.03463717270712	3.51213682691581	3.06987398681183	3.4032032960124	3.42751135109179	3.37610237608001
100130460	3.30090766070097	3.23323715555435	3.05733956552196	3.39513748611783	3.32697899188498	3.32130978906372
100130476	4.71609124702529	4.23010024921154	4.2844068573956	5.96710146471751	5.72902067960503	4.97959172562313
100130502	4.68042754976086	4.40131698297182	4.5101984130591	4.67808320828891	4.94303464331372	4.50183141166471
100130519	4.68730419667035	4.74790166901054	4.55098647044887	4.54041002319676	4.41543426537528	4.46496499223633
100130522	4.91453895224502	5.03102642700744	4.86680469620619	4.94559269849816	5.00533027617926	5.22628468200356
100130548	2.88537463556173	2.79561320536134	3.24455169947389	3.14263927645109	3.29054552358943	3.0336241422449
100130557	4.36064368904259	4.2758478060929	4.35271612076041	4.61351358536971	4.64425752435533	4.37632818403341
100130581	3.10534183407878	3.12685387755015	3.17136889345252	3.16222682438794	3.24170741795202	3.03528743635882
100130613	3.70234989280594	3.77432063149757	3.45502493771572	3.80933034691941	4.05782752553596	3.79911532315004
100130683	3.0087893713906	3.0252604797708	2.99203219653689	3.39784798435448	3.38901670710416	3.27690973732161
100130691	3.49176629060978	3.56693228029285	3.48236589469503	3.67236153496726	3.45417709949576	3.49176629060978
100130700	5.54301803876429	5.30969569158966	5.00980275070382	5.11341154995477	5.74309577422475	5.41934151937327
100130705	3.45556407835381	3.70813986962829	4.06305241257156	3.52080509085944	3.52809679333731	3.2919374324682
100130717	3.52248722915265	3.55601408370602	3.55232572920289	3.74962171035	3.60519197887504	3.67208257336428
100130733	4.82138887304732	4.46415489853557	4.38266998237403	4.95361963289716	4.65056912627476	4.42625346874123
100130776	5.31393426617052	5.38859520355942	5.38637918060707	5.3787992558036	5.52773090210291	5.04946265398044
100130855	3.11356069382437	3.13708925564475	3.19454717664422	3.22064999991776	3.41085816095173	3.09928746671369
100130872	5.80281053830107	6.00743830416798	5.360719023855	6.03060346270302	5.90967557011328	5.98023415921029
100130889	3.23216498138102	3.28717332391749	3.44751429419685	3.50079327650587	3.69461608301253	3.47135424659708
100130890	3.99822794392253	4.00186702521149	4.04364865775937	3.72774071970312	4.14969939877292	4.13363509858491
100130894	3.6106252617819	3.46725820727937	3.99579937571953	4.02471114742569	4.23077543581591	3.59748966787429
100130933	3.94942852907992	4.05448018566645	3.92150726690505	4.12963378280456	3.94671166207074	4.18453486595293
100130950	4.63153302345326	4.86235533542363	4.52066822961099	4.7047790459351	4.62815105949401	4.81964131621833
100130958	6.42078308818858	6.23181116520231	5.86984274004937	6.56459502381826	6.08853951270894	6.41257541299448
100130964	2.82712501914748	2.76641573603004	3.11559274783223	2.95670421738249	3.16678827501348	2.83870424177285
100130967	3.64757468561402	4.02861090633852	4.17616128456574	3.80293636660768	3.67264115010553	3.73607834201247
100130987	5.29592559323564	4.83218965561043	5.61412923444596	4.82960707098719	5.3412077293478	5.03727485468041
100130992	2.61348378836022	2.82815756937473	2.9532716121659	3.02771591103817	2.81936872262581	2.8847965814449
100131017	6.31836973528953	6.27899351991797	6.38997244100535	6.06480149036272	5.78297567770436	6.09586463599932
100131067	4.14280305841559	4.1921486428632	4.72335879803577	4.5513855609532	4.63866316170304	4.55511025039147
100131096	3.82284770522093	3.75251274074666	3.77387767013693	3.99903149209623	4.39049223633881	4.11701884637199
100131117	4.42368017777248	4.38859621759844	4.4417303256278	4.69336280395235	4.44211570189197	4.48769118061613
100131138	3.75973664095747	3.67974102829341	3.49400022607421	3.39567778928375	3.69715874315128	3.47925756296305
100131187	7.27085843330116	7.15155536278035	8.3394814193127	8.4287818264906	8.00491217817154	8.30446027439059
100131211	3.62219210044094	3.76182958731979	3.73015465830148	4.00137491419172	3.67454871080729	3.70313747748929
100131213	5.5477338043835	5.40692498268276	5.5429313536469	5.65894248431822	5.51145545427417	5.39349364417057
100131303	5.27513862060067	5.37310945336565	5.18409437713309	5.32206548292589	5.25129009948273	5.53139423380799
100131347	3.89764171316794	3.45204362633188	3.55200787286991	3.57201271164022	3.44101069461992	3.45739776487272
100131366	3.53262159255442	3.68662999187412	3.76413338295683	3.76640868315423	4.24298919678853	3.76773431247506
100131434	2.97218970933823	3.18229588961227	3.42173283171319	3.44320799571424	3.0194018185339	2.81307890756703
100131454	4.35989541877772	3.92662613940971	4.17395528767309	4.57133196440292	4.30642365153073	4.3769746522339
100131496	3.09281850975801	3.20690773478212	3.05650127254458	3.1976501768555	3.47506489896317	3.12652156654735
100131532	4.24369563447823	4.12158906516554	4.21328731557523	4.33244999156362	4.61283315472297	4.27358228671208
100131556	9.81242478337368	9.62862122973471	9.74400239035479	10.1333403303005	9.87905359205638	9.88369856486729
