Gene Symbol,Official Gene Name
ABCF2,"ATP-binding cassette, sub-family F (GCN20), member 2"
ABLIM1,actin binding LIM protein 1
ACACB,acetyl-Coenzyme A carboxylase beta
ACE,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
ACOX1,"acyl-Coenzyme A oxidase 1, palmitoyl"
ACOX2,"acyl-Coenzyme A oxidase 2, branched chain"
ACTG2,"actin, gamma 2, smooth muscle, enteric"
ADAM10,ADAM metallopeptidase domain 10
ADAM17,ADAM metallopeptidase domain 17
ADCY6,adenylate cyclase 6
ADIPOR1,adiponectin receptor 1
ADIPOR2,adiponectin receptor 2
ADM,adrenomedullin
AGER,advanced glycosylation end product-specific receptor
AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
AGTR1,"angiotensin II receptor, type 1"
ALDH3A2,"aldehyde dehydrogenase 3 family, member A2"
ALG8,"asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)"
ALKBH3,"alkB, alkylation repair homolog 3 (E. coli)"
AMD1,adenosylmethionine decarboxylase 1
ANGPTL2,angiopoietin-like 2
ANKRD55,ankyrin repeat domain 55
AP2A1,"adaptor-related protein complex 2, alpha 1 subunit"
APOBEC3B,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"
APOE,hypothetical LOC100129500; apolipoprotein E
APOH,apolipoprotein H (beta-2-glycoprotein I)
APP,amyloid beta (A4) precursor protein
AQP3,aquaporin 3 (Gill blood group)
ARHGEF16,Rho guanine exchange factor (GEF) 16
ASPN,asporin
ATF6,activating transcription factor 6
ATP2A2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"
ATP2A3,"ATPase, Ca++ transporting, ubiquitous"
ATP2B1,"ATPase, Ca++ transporting, plasma membrane 1"
ATP2B4,"ATPase, Ca++ transporting, plasma membrane 4"
ATP2C1,"ATPase, Ca++ transporting, type 2C, member 1"
ATP6AP2,"ATPase, H+ transporting, lysosomal accessory protein 2"
ATP6V1A,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A"
B2M,beta-2-microglobulin
BACE1,beta-site APP-cleaving enzyme 1
BACE2,beta-site APP-cleaving enzyme 2
BDKRB2,bradykinin receptor B2
BMI1,BMI1 polycomb ring finger oncogene
BNIP2,BCL2/adenovirus E1B 19kDa interacting protein 2
BORA,Aurora kinase A activator
BRAF,v-raf murine sarcoma viral oncogene homolog B1
C10orf10,chromosome 10 open reading frame 10
C18orf8,chromosome 18 open reading frame 8
C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1"
C1S,"complement component 1, s subcomponent"
C20orf3,chromosome 20 open reading frame 3
C3AR1,complement component 3a receptor 1
C4orf33,chromosome 4 open reading frame 33
C5orf4,chromosome 5 open reading frame 4
CADM3,cell adhesion molecule 3
CALB1,"calbindin 1, 28kDa"
CALCA,calcitonin-related polypeptide alpha
